iter	Passed	Remaining
0	173	173481
1	177	88671
2	180	59909
3	182	45494
4	185	36865
5	188	31164
6	191	27179
7	194	24088
8	196	21650
9	198	19697
10	201	18107
11	206	17034
12	208	15835
13	210	14795
14	212	13923
15	213	13156
16	215	12455
17	216	11833
18	219	11324
19	220	10817
20	222	10364
21	223	9947
22	225	9572
23	226	9230
24	228	8915
25	230	8625
26	233	8398
27	234	8140
28	235	7896
29	237	7669
30	238	7456
31	239	7258
32	241	7072
33	242	6896
34	243	6726
35	245	6574
36	247	6440
37	248	6295
38	249	6158
39	251	6026
40	252	5899
41	253	5780
42	255	5688
43	257	5584
44	258	5488
45	260	5407
46	262	5326
47	263	5235
48	265	5146
49	266	5066
50	267	4985
51	269	4905
52	270	4829
53	271	4753
54	272	4684
55	274	4618
56	275	4560
57	277	4501
58	278	4447
59	280	4386
60	281	4328
61	282	4274
62	283	4219
63	285	4168
64	286	4118
65	289	4091
66	290	4048
67	291	4000
68	293	3954
69	294	3908
70	295	3862
71	296	3822
72	297	3778
73	298	3735
74	299	3694
75	300	3654
76	301	3614
77	304	3594
78	305	3560
79	306	3526
80	307	3490
81	308	3456
82	309	3418
83	310	3385
84	311	3358
85	313	3328
86	314	3296
87	315	3266
88	316	3238
89	319	3227
90	320	3200
91	321	3176
92	323	3151
93	324	3125
94	325	3099
95	326	3074
96	327	3049
97	328	3025
98	330	3004
99	331	2982
100	334	2973
101	335	2955
102	336	2933
103	337	2911
104	339	2889
105	340	2868
106	341	2848
107	342	2828
108	343	2808
109	344	2789
110	345	2769
111	348	2762
112	350	2748
113	351	2730
114	352	2713
115	353	2695
116	354	2676
117	355	2659
118	357	2643
119	358	2626
120	359	2609
121	360	2592
122	363	2590
123	367	2598
124	369	2585
125	370	2572
126	372	2558
127	373	2544
128	374	2530
129	376	2516
130	379	2517
131	381	2509
132	382	2495
133	384	2481
134	385	2468
135	387	2458
136	388	2447
137	389	2433
138	390	2420
139	392	2408
140	394	2404
141	395	2389
142	396	2377
143	397	2365
144	399	2352
145	400	2340
146	401	2327
147	402	2314
148	403	2301
149	404	2289
150	405	2277
151	406	2265
152	409	2269
153	410	2257
154	411	2245
155	412	2234
156	413	2222
157	414	2211
158	416	2200
159	417	2189
160	417	2176
161	418	2166
162	419	2155
163	420	2145
164	422	2136
165	424	2132
166	425	2122
167	426	2112
168	427	2102
169	428	2092
170	429	2082
171	430	2073
172	431	2063
173	432	2054
174	433	2044
175	434	2036
176	435	2027
177	438	2023
178	439	2015
179	440	2006
180	441	1998
181	442	1990
182	443	1981
183	445	1974
184	446	1966
185	447	1958
186	448	1949
187	449	1941
188	450	1933
189	452	1930
190	453	1922
191	454	1914
192	455	1906
193	456	1898
194	457	1890
195	459	1882
196	460	1875
197	461	1868
198	462	1860
199	463	1852
200	464	1845
201	465	1838
202	466	1832
203	468	1828
204	469	1821
205	470	1814
206	471	1807
207	472	1800
208	473	1793
209	474	1786
210	475	1779
211	477	1773
212	478	1766
213	479	1759
214	480	1753
215	481	1747
216	482	1742
217	483	1735
218	484	1728
219	485	1721
220	486	1715
221	487	1708
222	488	1702
223	489	1696
224	490	1690
225	491	1684
226	493	1679
227	494	1673
228	495	1668
229	497	1665
230	498	1659
231	499	1653
232	500	1648
233	501	1642
234	502	1636
235	503	1631
236	505	1626
237	506	1620
238	507	1614
239	508	1609
240	509	1603
241	511	1602
242	512	1596
243	513	1591
244	514	1585
245	515	1580
246	516	1575
247	517	1570
248	518	1565
249	520	1560
250	521	1555
251	522	1549
252	523	1544
253	524	1539
254	526	1539
255	527	1534
256	528	1529
257	529	1524
258	530	1519
259	532	1514
260	533	1509
261	534	1504
262	535	1499
263	536	1495
264	537	1490
265	538	1485
266	539	1480
267	541	1480
268	543	1475
269	544	1471
270	545	1467
271	546	1463
272	547	1458
273	548	1454
274	550	1450
275	551	1446
276	552	1442
277	553	1437
278	556	1437
279	557	1433
280	558	1429
281	560	1426
282	561	1422
283	562	1418
284	563	1414
285	565	1410
286	566	1406
287	567	1402
288	568	1397
289	569	1393
290	571	1392
291	572	1388
292	573	1384
293	574	1380
294	575	1375
295	576	1371
296	577	1367
297	578	1363
298	579	1359
299	580	1355
300	581	1351
301	583	1347
302	584	1343
303	586	1342
304	587	1339
305	588	1335
306	590	1331
307	591	1327
308	592	1324
309	593	1320
310	594	1316
311	595	1312
312	596	1308
313	597	1304
314	598	1300
315	599	1296
316	601	1296
317	602	1292
318	603	1288
319	604	1285
320	605	1281
321	606	1277
322	607	1274
323	608	1270
324	609	1266
325	611	1263
326	612	1259
327	613	1256
328	615	1254
329	616	1251
330	618	1249
331	619	1246
332	620	1242
333	621	1239
334	622	1235
335	623	1232
336	624	1229
337	625	1225
338	626	1222
339	628	1219
340	629	1216
341	630	1213
342	632	1210
343	633	1207
344	634	1204
345	635	1201
346	636	1198
347	637	1195
348	638	1191
349	639	1188
350	640	1185
351	642	1181
352	643	1178
353	645	1177
354	646	1174
355	647	1170
356	648	1167
357	649	1164
358	650	1161
359	651	1157
360	652	1154
361	653	1151
362	654	1148
363	655	1145
364	656	1142
365	658	1139
366	660	1138
367	661	1135
368	662	1132
369	663	1129
370	664	1126
371	665	1123
372	666	1120
373	667	1116
374	668	1114
375	669	1111
376	670	1107
377	671	1104
378	672	1102
379	674	1100
380	675	1097
381	676	1094
382	677	1091
383	678	1089
384	679	1086
385	680	1083
386	681	1080
387	682	1077
388	683	1074
389	684	1071
390	686	1068
391	687	1065
392	689	1064
393	690	1062
394	691	1059
395	692	1056
396	693	1053
397	694	1050
398	695	1047
399	696	1045
400	697	1042
401	698	1039
402	699	1036
403	700	1033
404	701	1031
405	704	1030
406	705	1027
407	706	1024
408	707	1021
409	708	1019
410	709	1016
411	710	1014
412	711	1011
413	713	1009
414	714	1006
415	715	1004
416	716	1001
417	720	1003
418	721	1001
419	723	999
420	724	997
421	726	994
422	727	992
423	729	991
424	731	989
425	735	990
426	736	988
427	739	987
428	741	986
429	742	984
430	744	982
431	745	980
432	746	977
433	749	977
434	750	975
435	752	972
436	753	970
437	754	968
438	755	965
439	756	963
440	757	960
441	759	958
442	760	955
443	761	953
444	764	953
445	766	952
446	767	949
447	769	948
448	770	946
449	772	943
450	773	941
451	774	939
452	775	936
453	776	934
454	779	934
455	782	933
456	784	932
457	786	930
458	788	928
459	789	926
460	791	925
461	796	928
462	798	926
463	800	924
464	802	923
465	804	921
466	805	919
467	807	917
468	809	916
469	811	914
470	812	912
471	814	910
472	815	908
473	816	905
474	817	903
475	818	901
476	819	898
477	823	899
478	824	897
479	826	895
480	828	893
481	829	891
482	830	889
483	832	887
484	833	884
485	834	882
486	835	880
487	838	879
488	839	877
489	840	874
490	841	872
491	842	870
492	843	867
493	845	865
494	846	863
495	847	860
496	848	858
497	849	856
498	852	856
499	853	853
500	854	851
501	855	849
502	856	846
503	857	844
504	858	841
505	859	839
506	860	837
507	861	834
508	863	832
509	864	830
510	867	829
511	868	827
512	869	825
513	870	822
514	871	820
515	872	818
516	873	815
517	874	813
518	875	811
519	876	809
520	878	807
521	879	804
522	881	803
523	882	801
524	883	799
525	884	797
526	885	794
527	886	792
528	887	790
529	888	787
530	889	785
531	890	783
532	891	781
533	892	779
534	893	776
535	896	775
536	897	773
537	898	771
538	899	769
539	900	767
540	901	764
541	902	762
542	903	760
543	904	758
544	905	756
545	906	754
546	907	751
547	909	749
548	911	748
549	912	746
550	913	744
551	915	742
552	916	740
553	917	738
554	918	736
555	919	734
556	920	732
557	921	730
558	922	728
559	923	725
560	926	724
561	927	722
562	928	720
563	929	718
564	930	716
565	931	714
566	932	712
567	933	710
568	935	708
569	936	706
570	937	704
571	938	702
572	939	700
573	941	698
574	942	696
575	943	694
576	944	692
577	945	690
578	946	688
579	947	686
580	948	684
581	949	682
582	950	680
583	952	678
584	953	676
585	955	675
586	956	673
587	957	671
588	959	669
589	960	667
590	961	665
591	962	663
592	963	661
593	964	659
594	965	657
595	966	655
596	967	653
597	968	651
598	970	649
599	971	647
600	972	645
601	973	643
602	974	641
603	975	639
604	976	637
605	978	635
606	979	633
607	980	631
608	981	629
609	982	627
610	983	625
611	985	624
612	986	622
613	987	621
614	988	619
615	989	617
616	991	615
617	991	613
618	992	611
619	993	609
620	995	607
621	996	605
622	997	603
623	998	601
624	1000	600
625	1001	598
626	1003	596
627	1004	594
628	1005	593
629	1006	591
630	1007	589
631	1008	587
632	1010	585
633	1011	583
634	1012	581
635	1013	579
636	1015	578
637	1016	576
638	1017	574
639	1018	572
640	1019	571
641	1020	569
642	1021	567
643	1022	565
644	1023	563
645	1024	561
646	1025	559
647	1026	557
648	1027	555
649	1030	554
650	1031	552
651	1032	551
652	1033	549
653	1034	547
654	1035	545
655	1036	543
656	1037	541
657	1038	539
658	1039	537
659	1040	535
660	1041	534
661	1042	532
662	1044	531
663	1046	529
664	1047	527
665	1048	525
666	1049	523
667	1050	521
668	1051	520
669	1052	518
670	1053	516
671	1054	514
672	1055	512
673	1056	511
674	1057	509
675	1060	508
676	1061	506
677	1062	504
678	1063	502
679	1064	500
680	1065	499
681	1066	497
682	1067	495
683	1068	493
684	1069	491
685	1070	490
686	1071	488
687	1073	486
688	1075	485
689	1076	483
690	1077	481
691	1078	479
692	1079	478
693	1080	476
694	1081	474
695	1082	472
696	1083	470
697	1084	469
698	1085	467
699	1086	465
700	1087	463
701	1090	462
702	1091	461
703	1092	459
704	1093	457
705	1094	455
706	1095	454
707	1096	452
708	1097	450
709	1099	448
710	1099	447
711	1101	445
712	1102	443
713	1104	442
714	1105	440
715	1106	438
716	1107	437
717	1108	435
718	1109	433
719	1110	431
720	1111	430
721	1112	428
722	1115	427
723	1117	425
724	1119	424
725	1120	422
726	1121	421
727	1122	419
728	1123	417
729	1124	416
730	1125	414
731	1126	412
732	1127	410
733	1128	409
734	1129	407
735	1131	405
736	1133	404
737	1134	402
738	1135	401
739	1136	399
740	1137	397
741	1138	395
742	1139	394
743	1140	392
744	1141	390
745	1142	389
746	1143	387
747	1144	385
748	1145	384
749	1147	382
750	1148	380
751	1149	379
752	1151	377
753	1152	375
754	1153	374
755	1154	372
756	1155	370
757	1156	369
758	1157	367
759	1158	365
760	1160	364
761	1163	363
762	1166	362
763	1167	360
764	1169	359
765	1170	357
766	1171	356
767	1173	354
768	1174	352
769	1175	351
770	1176	349
771	1178	348
772	1179	346
773	1180	344
774	1181	343
775	1183	341
776	1184	339
777	1185	338
778	1186	336
779	1187	334
780	1188	333
781	1190	331
782	1192	330
783	1194	329
784	1195	327
785	1197	325
786	1198	324
787	1199	322
788	1200	321
789	1201	319
790	1202	317
791	1203	316
792	1204	314
793	1205	312
794	1208	311
795	1209	310
796	1211	308
797	1212	306
798	1213	305
799	1214	303
800	1215	302
801	1216	300
